origin_name,origin_lat,origin_lng,dest_lat,dest_lng,ship_datetime,delivery_datetime,value,weight,cube,brand
Dallas TX DC,32.8998,-96.8379,32.8955,-96.7782,2026-01-23 11:05:33,2026-01-23 14:49:47,33.43,1.4,0.26,Summit
Reno NV DC,39.5296,-119.8138,29.7071,-95.0719,2026-01-05 11:13:16,2026-01-06 10:04:03,11.02,3.3,0.38,Alpine
Chicago IL DC,41.85,-87.882,47.2132,-122.4231,2026-01-17 15:55:09,2026-01-18 09:04:26,47.84,2.6,0.18,Summit
Memphis TN DC,35.1175,-89.9711,39.8409,-82.886,2026-01-05 11:44:39,2026-01-06 08:07:51,41.51,6.5,0.94,Summit
Dallas TX DC,32.8998,-96.8379,30.4101,-97.9597,2026-01-01 13:13:43,2026-01-02 12:53:11,84.96,6.4,1.78,Ridge
Edison NJ DC,40.5187,-74.4121,40.8713,-73.8153,2026-01-23 10:23:59,2026-01-23 16:13:57,5.49,9.0,0.59,Atlas
Reno NV DC,39.5296,-119.8138,32.6038,-117.1383,2026-01-29 13:56:00,2026-01-29 16:27:57,66.58,3.2,0.16,Pacific
Atlanta GA DC,33.6407,-84.4277,41.2658,-96.1761,2026-01-19 15:12:58,2026-01-19 15:48:43,44.93,8.6,0.55,Cascade
Dallas TX DC,32.8998,-96.8379,40.6562,-74.001,2026-01-23 16:35:02,2026-01-24 12:28:33,100.24,1.9,0.44,Summit
Dallas TX DC,32.8998,-96.8379,39.5589,-104.8576,2026-01-27 11:04:19,2026-01-27 18:07:58,41.46,1.7,0.3,Pacific
Memphis TN DC,35.1175,-89.9711,37.356,-121.8084,2026-01-18 08:51:03,2026-01-18 14:48:04,9.82,3.7,0.86,Cascade
Edison NJ DC,40.5187,-74.4121,40.676,-74.2728,2026-01-06 12:11:41,2026-01-06 18:27:11,16.38,4.8,1.44,Alpine
Atlanta GA DC,33.6407,-84.4277,41.5133,-96.1281,2026-01-15 14:03:41,2026-01-15 14:54:29,80.98,0.4,0.12,Ridge
Edison NJ DC,40.5187,-74.4121,40.5986,-73.628,2026-01-17 13:37:49,2026-01-17 18:32:41,13.67,6.7,0.73,Cascade
Edison NJ DC,40.5187,-74.4121,34.9708,-90.1326,2026-01-03 11:20:40,2026-01-04 09:33:57,50.63,3.1,0.66,Ridge
